#{"t_start": 1655027203.6416228, "env_id": "gym_spaceship/Spaceship-v0"}
r,l,t
30,144,38.405998
-11,71,38.435998
24,144,38.495501
33,147,38.559999
43,111,38.608498
28,108,38.654499
40,108,38.699498
84,360,40.446501
38,108,40.4955
-13,71,40.525499
52,180,40.599485
34,108,40.648002
42,144,40.7095
28,184,40.792002
26,110,40.835514
24,108,40.879065
30,108,40.930499
27,181,41.004499
56,216,41.100501
-21,71,41.134499
-9,71,41.167502
20,144,41.233
-13,73,42.868783
-19,71,42.8955
-13,71,42.924502
28,108,42.9675
42,144,43.030501
16,216,43.124
-35,71,43.1545
19,111,43.2005
36,108,43.249001
8,180,43.324999
-11,71,43.353499
44,216,43.446001
16,144,43.5125
24,108,43.559506
-2,72,43.593535
-17,71,43.624999
-2,108,43.667001
-19,71,43.695498
-4,112,45.340999
52,144,45.405999
66,216,45.494998
-17,71,45.527501
-11,71,45.557499
-9,71,45.589499
5,71,45.621998
-29,71,45.653999
-15,71,45.681499
2,108,45.731629
9,109,45.777
9,73,45.805498
-13,71,45.834999
22,252,45.941498
30,108,45.988001
77,145,46.053003
7,71,46.080503
-7,71,46.122003
90,216,46.2075
28,144,47.878499
-29,71,47.905502
-13,71,47.935501
-9,71,47.962502
34,144,48.018001
28,108,48.0615
-25,71,48.091704
32,108,48.136
30,144,48.199998
28,144,48.2615
3,71,48.300499
5,71,48.334003
-23,71,48.364498
-12,72,48.392
10,144,48.450499
50,252,48.5635
38,216,48.655998
36,216,50.341499
70,252,50.450499
-17,71,50.479
60,180,50.554
30,110,50.603463
32,110,50.654501
7,75,50.686
94,220,50.776
5,71,50.807498
-8,72,50.835999
4,108,50.880499
-21,71,50.907999
36,146,50.970998
-13,71,50.999999
1,71,51.028498
16,110,51.078502
30,108,51.1245
14,108,52.776999
30,108,52.821499
42,108,52.870499
48,144,52.934002
62,362,53.088002
-10,108,53.136999
2,108,53.186499
40,144,53.247498
54,216,53.341499
29,181,53.422999
-13,71,53.451999
20,108,53.496585
-13,71,53.528999
78,288,55.235003
1,109,55.282
7,75,55.312091
23,109,55.356
35,145,55.4135
58,182,55.501581
28,108,55.549
84,288,55.674498
-41,71,55.707638
20,108,55.752
52,180,55.828498
-9,71,55.860726
-4,108,55.908998
12,216,55.994998
-18,72,56.022002
30,144,56.078059
3,73,57.719998
-13,71,57.750499
26,180,57.830498
-13,71,57.8595
52,144,57.915
62,324,58.055999
38,216,58.1515
126,432,58.363001
-15,71,58.396
46,108,58.441
32,108,58.488
-17,71,58.518
-9,71,58.547638
1,73,58.581
-7,71,58.611502
32,108,60.235002
58,324,60.365635
48,144,60.419503
-17,71,60.450498
86,396,60.639499
38,108,60.688999
38,144,60.75
44,216,60.833501
30,108,60.881499
22,216,60.972631
-45,71,61.003
52,180,62.701502
-11,71,62.732499
4,108,62.778
-25,71,62.809998
-15,71,62.839998
-35,71,62.872999
60,216,62.961498
7,109,63.004498
-35,71,63.031999
12,108,63.077502
72,290,63.198502
-19,71,63.226
98,216,63.316499
-3,145,63.38
18,288,63.5045
4,144,65.172498
-7,71,65.206499
-21,71,65.234499
7,71,65.263999
54,216,65.3615
6,144,65.425999
-27,71,65.455499
-61,71,65.482999
36,108,65.530499
-41,71,65.5615
-8,72,65.5925
34,180,65.669999
0,108,65.717498
-8,110,65.766001
48,108,65.813998
-1,73,65.845502
-22,108,65.890001
11,109,65.932999
-11,71,65.960499
30,108,66.01
28,108,67.629499
37,145,67.689498
30,144,67.748998
-25,71,67.778499
-1,71,67.806499
22,108,67.856499
34,108,67.903499
-3,71,67.934498
6,108,67.978584
-16,144,68.042001
48,108,68.091563
38,110,68.142004
197,615,68.404617
32,144,68.468069
26,148,70.111656
24,108,70.153003
-2,110,70.196503
-30,108,70.240503
44,180,70.314498
40,180,70.3945
46,108,70.4435
-4,108,70.488503
38,108,70.537
40,144,70.603498
30,144,70.669535
-29,71,70.7
23,145,70.7605
42,108,70.803503
168,468,72.572998
-11,71,72.604499
30,108,72.649498
15,75,72.678394
-23,71,72.708
22,108,72.756499
56,146,72.827498
141,397,72.997503
-49,71,73.026998
3,71,73.055498
17,147,73.116999
0,108,73.166499
-4,72,73.196685
32,108,73.245499
-7,71,73.278001
2,112,73.327498
14,108,73.375
72,180,75.108499
-19,71,75.138999
29,181,75.217998
-20,108,75.266499
11,75,75.296
33,181,75.368999
-9,71,75.398001
-15,71,75.425
-37,71,75.456003
24,108,75.504
-7,71,75.533999
1,111,75.584499
116,396,75.751502
11,73,75.782002
-11,71,75.812001
54,144,75.8715
32,144,75.931473
68,180,77.565504
-16,72,77.595
54,252,77.708999
52,144,77.774499
62,216,77.867999
-15,71,77.897998
-9,71,77.925499
-8,110,77.971499
16,108,78.018999
-27,71,78.050999
48,180,78.128498
34,108,78.176
58,252,78.281
64,180,78.356499
-32,108,80.012499
-3,71,80.0415
-13,75,80.075002
22,144,80.133501
-7,71,80.165001
32,108,80.212
-20,144,80.274499
56,216,80.371546
34,108,80.416999
1,71,80.447499
47,291,80.571705
-21,71,80.599498
5,71,80.632004
36,144,80.687498
24,180,80.766998
18,108,80.814498
32,108,80.862499
50,216,82.524623
-6,72,82.556498
14,180,82.632999
6,108,82.676
-15,71,82.703999
5,71,82.733498
-3,71,82.761999
32,108,82.809
-27,71,82.8385
-7,71,82.867
-17,71,82.893998
18,108,82.936999
24,180,83.0155
44,108,83.065499
-22,72,83.099
-11,71,83.131499
-3,71,83.162499
7,71,83.192498
-13,71,83.223499
22,108,83.271498
24,108,84.862617
42,108,84.911
-39,71,84.9435
28,144,85.003
-17,71,85.042001
130,326,85.202
-9,71,85.229
32,108,85.276143
30,108,85.321998
32,108,85.368499
-17,71,85.401002
50,144,85.463501
3,71,85.496503
-25,109,85.546001
17,111,85.595
40,144,85.656498
1,71,85.685999
36,108,85.7355
0,108,87.337502
52,180,87.411272
-12,108,87.455998
-11,71,87.485999
10,108,87.527003
32,108,87.568003
-11,73,87.596503
1,71,87.628013
1,71,87.658535
40,144,87.7195
-9,73,87.752501
59,181,87.829
-45,71,87.860002
12,108,87.901502
-5,71,87.929501
44,108,87.978499
5,73,88.012001
2,74,88.045999
99,255,88.154084
40,144,89.768499
30,108,89.810001
42,144,89.877003
-19,71,89.904498
50,144,89.961001
46,108,90.006
82,252,90.117
-11,71,90.148999
38,144,90.208998
-7,71,90.241498
56,144,90.306998
12,144,90.371992
40,144,90.436998
32,108,90.483499
3,71,90.515
-2,72,90.548141
6,180,92.241498
16,108,92.284035
-24,108,92.328504
1,71,92.355569
-7,71,92.386503
31,109,92.4325
-9,71,92.464999
-3,71,92.4945
-9,71,92.525499
-7,71,92.558499
58,216,92.654999
16,108,92.701999
48,144,92.7595
19,109,92.803501
100,324,92.942498
32,108,92.983499
-4,72,93.013999
-47,71,93.0415
-23,71,93.070498
-13,71,93.101498
64,252,94.839636
-27,71,94.869499
-7,71,94.897999
-5,71,94.930499
50,180,95.011001
32,108,95.0565
128,288,95.186499
65,183,95.265999
12,108,95.314501
40,144,95.377724
50,218,95.465999
64,180,95.538499
58,144,95.6015
-9,71,97.230801
68,216,97.337999
12,108,97.382499
-1,71,97.415499
36,108,97.459532
18,180,97.541999
5,109,97.586503
44,108,97.627672
-7,71,97.654503
46,144,97.716999
-20,72,97.748071
50,216,97.843617
18,144,97.904999
30,180,97.978999
-27,71,98.008999
-24,180,98.080498
74,180,99.7125
32,108,99.753502
90,216,99.843499
8,108,99.886998
