#{"t_start": 1654704754.9331267, "env_id": "gym_spaceship/Spaceship-v0"}
r,l,t
167,71,43.570998
-3,71,43.731998
66,144,43.958998
167,71,44.067998
117,71,44.185998
64,108,44.335999
80,108,44.510998
3,71,44.617999
167,71,44.726999
110,180,44.9805
-1,71,45.087499
159,71,45.201499
167,71,45.337999
-3,71,45.468
17,71,45.578999
78,144,45.802999
155,71,45.91
167,71,46.043499
163,71,46.152499
78,144,46.3905
-3,71,46.491499
13,109,46.64
-1,71,46.754999
163,71,46.856998
6,108,47.003501
167,71,47.147498
-7,71,47.249999
4,108,47.434999
157,71,47.564
152,72,47.681999
103,71,47.812927
-1,71,47.940507
125,71,48.103999
-44,74,48.211085
-7,71,48.3295
1,111,48.506498
-1,71,48.615999
5,73,48.780001
7,71,48.886
4,108,49.040001
-1,71,49.153503
51,71,49.249499
106,144,49.454003
7,71,49.5735
0,112,49.747003
155,71,49.853999
3,71,50.0
16,108,50.1865
161,71,50.284
1,71,50.388999
167,71,50.490999
154,72,50.638499
163,71,50.750999
-3,71,50.869498
167,71,50.981499
52,108,51.142499
7,109,51.308588
6,108,51.471237
151,71,51.598499
167,71,51.705999
2,108,51.9
-2,108,52.066
11,109,52.241499
8,180,52.507352
1,71,52.613003
161,71,52.722503
119,71,52.834999
-38,108,52.9895
2,216,53.3405
-14,72,53.438498
-37,71,53.559
133,71,53.676001
7,71,53.793533
153,71,53.918998
7,71,54.0305
153,71,54.1475
1,71,54.2585
-1,71,54.382999
6,144,54.589
155,71,54.709
145,71,54.824
8,108,54.981001
135,71,55.0985
1,71,55.2115
-3,71,55.335499
-43,71,55.511999
151,71,55.625998
-10,108,55.812499
159,71,55.919
-1,71,56.046499
6,108,56.225501
1,71,56.331002
163,71,56.445071
159,71,56.554
155,71,56.661498
-1,71,56.778498
157,71,56.899501
31,145,57.1195
1,71,57.2255
163,71,57.345502
1,75,57.5255
3,71,57.625
-7,71,57.7285
3,71,57.8435
3,71,57.955
6,108,58.137499
167,71,58.2325
1,71,58.330998
161,71,58.455002
151,71,58.550501
157,71,58.660959
163,71,58.7685
48,108,58.9285
3,71,59.032498
143,71,59.137337
54,108,59.331001
162,72,59.431587
167,71,59.5595
-1,71,59.6635
29,109,59.838
7,71,59.948071
-54,72,60.048003
158,72,60.157999
1,71,60.276999
60,108,60.438375
159,71,60.546499
167,71,60.661501
1,71,60.769
-13,71,60.870502
9,71,60.988002
10,108,61.198
159,71,61.316498
162,72,61.418999
22,108,61.573504
1,71,61.687
33,109,61.8395
2,108,62.002001
162,72,62.1185
1,71,62.239499
74,108,62.417499
3,71,62.5165
74,144,62.720001
1,71,62.837506
-1,71,62.9625
154,72,63.068
18,144,63.290499
3,75,63.437499
8,72,63.552499
162,72,63.652071
3,71,63.758845
51,71,63.871999
152,72,63.981501
2,72,64.086498
0,108,64.257498
3,71,64.3685
45,145,64.616
152,72,64.733001
1,71,64.8385
7,71,64.946
10,108,65.112144
162,72,65.246999
10,72,65.361999
1,71,65.476999
-1,71,65.6005
1,71,65.7125
136,72,65.850983
-1,75,66.023999
12,108,66.238498
157,71,66.373999
8,108,66.540732
1,71,66.663002
153,71,66.7715
3,71,66.916999
3,71,67.076
158,72,67.197499
-1,71,67.308498
12,108,67.4755
149,71,67.584999
1,71,67.704561
-23,71,67.807499
145,71,67.928002
163,71,68.031498
151,71,68.133499
1,71,68.241999
69,71,68.340498
149,71,68.464998
22,144,68.692
1,71,68.821999
138,72,68.9365
10,110,69.129503
1,71,69.261
12,108,69.4395
1,71,69.550998
8,108,69.7515
155,71,69.8745
1,71,69.987
147,71,70.142
157,71,70.255
-1,71,70.366004
1,71,70.468
1,75,70.588499
62,110,70.760999
1,71,70.8825
151,71,71.006
-3,71,71.126501
-1,71,71.246822
48,108,71.4195
1,109,71.601499
156,72,71.713498
1,71,71.8355
62,108,71.991499
7,73,72.111506
-5,71,72.232999
0,72,72.361505
1,71,72.481004
159,71,72.598501
24,144,72.821504
154,72,72.932999
12,108,73.1225
152,72,73.235
1,71,73.347589
151,71,73.455
1,71,73.574998
1,71,73.698499
12,108,73.859741
1,71,73.978659
-1,73,74.079002
1,71,74.193
1,71,74.3
3,71,74.41
4,108,74.568999
159,71,74.675002
1,71,74.777503
1,71,74.904501
62,108,75.130502
84,108,75.325499
155,71,75.441001
26,108,75.615999
1,71,75.721998
10,108,75.8955
1,71,76.027
1,71,76.147999
-21,71,76.2535
154,72,76.369498
1,71,76.494498
0,108,76.6605
3,71,76.777063
-1,71,76.916999
64,108,77.083504
1,71,77.188003
2,72,77.293667
1,109,77.472002
1,71,77.635499
159,71,77.735999
2,108,77.896595
4,74,78.008002
4,108,78.170999
57,109,78.372505
-15,71,78.479498
-1,71,78.610998
167,71,78.712
-38,72,78.830494
12,108,78.9985
162,72,79.161499
162,72,79.313999
155,71,79.434999
3,75,79.548498
154,72,79.669499
8,108,79.841499
158,72,79.973003
1,71,80.127
53,109,80.304
-1,71,80.4225
10,108,80.597001
3,71,80.702498
-1,71,80.809999
1,71,80.958998
146,72,81.0835
-1,71,81.205001
12,108,81.371001
3,71,81.486502
155,71,81.645998
2,74,81.757002
163,71,81.886499
-22,72,82.002
53,109,82.170574
-3,71,82.2925
-1,71,82.397005
154,72,82.507999
1,71,82.619499
154,72,82.744966
-7,71,82.866999
60,108,83.044498
1,71,83.149998
158,72,83.259998
3,71,83.384999
-1,71,83.5165
162,72,83.6285
3,75,83.74
4,108,83.9105
12,108,84.074999
-50,72,84.188498
