#{"t_start": 1653991676.9744394, "env_id": "gym_spaceship/Spaceship-v0"}
r,l,t
-31,71,2.463194
-27,71,2.469337
-35,71,2.475567
-46,108,2.485721
-35,71,2.493926
-25,71,2.500913
-33,71,2.509074
-35,71,2.517293
-21,75,2.526995
-50,108,2.537158
-33,71,2.54392
-42,144,2.55728
-33,71,2.564015
-44,108,2.573819
-31,71,2.580368
-32,108,2.590448
-25,71,2.597
-25,71,2.604059
-26,72,2.610601
-15,73,2.617156
-29,71,2.623706
-29,71,2.630256
-21,71,2.636814
-33,71,2.643368
-27,71,2.649927
-23,71,2.656481
-19,71,2.663044
-30,108,2.672614
-42,180,2.68976
-25,71,2.69632
-37,71,2.70287
-44,108,2.712959
-21,71,2.719013
-32,108,2.729108
-20,108,2.739188
-15,71,2.745748
-17,71,2.75231
-17,71,2.758868
-19,71,2.765429
-18,72,2.771986
-28,108,2.781545
-12,110,2.792141
-17,71,2.798187
-32,74,2.805257
-13,71,2.81181
-32,108,2.821395
-30,108,2.831482
-23,71,2.838034
-33,71,2.844591
-31,71,2.851145
-38,108,2.861235
-21,71,2.868302
-31,71,2.878879
-19,71,2.886933
-11,71,2.893547
-21,71,2.901344
-33,71,2.907619
-23,71,2.924851
-25,71,2.931853
-22,108,2.941855
-34,144,2.954858
-19,71,2.961861
-35,71,2.968862
2,108,2.978864
-22,72,2.984865
-2,180,3.00787
-25,71,3.013872
-34,108,3.024874
-27,71,3.031876
-39,71,3.038878
-27,71,3.045879
-21,71,3.052881
-23,71,3.058882
-26,108,3.069885
-19,145,3.083887
-25,71,3.093891
-25,71,3.101893
-24,108,3.116895
-15,71,3.125824
-42,216,3.178107
-33,71,3.186072
-33,71,3.194637
-19,71,3.207995
-19,71,3.213664
-27,71,3.222538
-31,71,3.229071
-13,71,3.236037
-19,71,3.244068
-34,108,3.255717
-17,71,3.262384
-29,71,3.269137
-29,71,3.275682
-35,71,3.282217
-21,71,3.290823
-19,71,3.297362
-28,108,3.308444
-31,71,3.314998
-37,109,3.325944
