timestamp,reward
10000,-27.80327868852459
20000,-26.365853658536587
30000,-26.345205479452055
40000,-26.65979381443299
50000,-26.88391376451078
60000,-25.113128491620113
70000,-23.581620314389358
80000,-21.7725321888412
90000,-19.861671469740635
100000,-18.299479166666668
110000,-16.81004709576138
120000,-15.510394265232975
130000,-14.21870882740448
140000,-13.034229828850856
150000,-12.00911680911681
160000,-10.851257356875335
170000,-9.782433114588592
180000,-8.522716403634625
190000,-6.487482931269914
200000,-4.668989547038327
210000,-2.8686405337781484
220000,-1.1304347826086956
230000,0.6868532004599464
240000,2.54585635359116
250000,5.107320540156361
260000,7.012736660929432
270000,8.63903743315508
280000,10.605844155844157
290000,11.961198738170348
300000,13.497698680576864
310000,15.586495368987153
320000,17.24314068884997
330000,18.819845581927368
340000,20.30435997764114
350000,21.688166165619023
360000,22.979411764705883
370000,24.235772357723576
380000,25.66503856041131
390000,26.851945426983324
400000,27.970260223048328
410000,28.793967404524448
420000,30.037514934289128
430000,31.07094197791872
440000,32.270569255588846
450000,33.52019056261343
460000,34.84838350055741
470000,35.7008547008547
480000,36.71259163432514
490000,37.811080450010614
500000,38.905798618379734
510000,39.82000413308535
520000,40.70114239086087
530000,41.635284650975656
540000,42.502678040071416
550000,43.59929494712103
560000,44.498839907192576
570000,45.21827217125382
580000,45.9228149829739
590000,46.590298507462684
600000,47.341130963345
610000,48.08898999090082
620000,48.930817610062896
630000,49.69290918784432
640000,50.48628691983122
650000,51.14738124238733
660000,51.73115318416523
670000,52.404121253406
680000,52.908171861836564
690000,53.5383974679327
700000,54.09909315746084
710000,54.6312183983037
720000,55.21699789949911
730000,55.93303428388337
740000,56.561378434175005
750000,57.09362706530291
760000,57.768032403801215
770000,58.32719962888511
780000,58.929829937184
790000,59.492408138475554
800000,59.998493749058596
810000,60.55628644042458
820000,60.94943653618031
830000,61.548690791409236
840000,62.05932944606414
850000,62.56667630893838
860000,63.059253945480634
870000,63.602250071204786
880000,64.13009736136588
890000,64.57605042016807
900000,65.11254510130446
910000,65.55125911655429
920000,65.95920316550689
930000,66.51421223605847
940000,67.06176154672396
950000,67.42921827140765
960000,67.84048027444254
970000,68.25071895424837
980000,68.64812653960846
990000,69.0984449299576
1000000,69.38471337579618
1010000,69.76561908368042
1020000,70.01691941346033
1030000,70.26358324008454
1040000,70.64246085562816
1050000,70.84644561360578
1060000,71.09211165048544
1070000,71.4024831243973
1080000,71.77756517579526
1090000,72.02323926962295
1100000,72.27021301635871
1110000,72.46201423736726
